id,parent_id,created_time,message
426895610773497_1583454705117576,NULL,2018-04-17T18:30:01+0000,Read to know.
1583454705117576_1583849335078113,426895610773497_1583454705117576,2018-04-17T21:18:53+0000,Not only in MP.. all over India kisano ki same problem aur condition hai.. Panjab mein bhi tomatoes and potatoes ki yahi dudasha hoti hai....bohat kam logo ko pata hoga k sabzi ki kheti mein kitni mehnat aur kharach atta hai ... ugane aur sambhal ki baat dur sirf todd kar mandi tak k kharch (labor+crates+diesel) per crate +20-25 hai... Jis kissan ke ghar kheti k bina koi aur income nahi uska hal accha nahi hai.... Panjab ko bhi Green revelation ne barbaad kar diya
1583454705117576_1583747395088307,426895610773497_1583454705117576,2018-04-17T18:33:59+0000,Can we educate farmers how to fetch the good rate? Stop blaming government it’s the ground level we need all have to work on teach the farmers
1583454705117576_1583761775086869,426895610773497_1583454705117576,2018-04-17T18:56:14+0000,Apna country kuch nehi ho sakta....Modi ho ya chodi....yes one thing we can do gaplas.....big gaplas where we even cannot count 😂😂😀😀 but agle bar bhi Modi sarkar
1583454705117576_1583827245080322,426895610773497_1583454705117576,2018-04-17T20:38:09+0000,"The farmers are having hard time selling their produce at better rates because the middle man takes away most of the profit. If the skip that and try to sell at municipal markets, they are offered much lower rates, rates which have been rigged. Just few months back a recording had surfaced where the government employee was taking bribe in order to keep the purchasing price lower to facilitate the wholesale purchasers. Secondly, if they had enough money to either rent or purchase a shop, they wouldn't be hanging themselves at such high suicide rate throughout the country. Stop behaving like educated eureka people and for once show some empathy."
1583454705117576_1583762548420125,426895610773497_1583454705117576,2018-04-17T18:57:36+0000,"Tomato bachao, tomato padhao..."
1583454705117576_1583762031753510,426895610773497_1583454705117576,2018-04-17T18:56:39+0000,Why should the farmer depend on government to sell? Create a coop society or Amul like business model.
1583454705117576_1583755755087471,426895610773497_1583454705117576,2018-04-17T18:46:58+0000,"Yes Vipin Saini is saying absolutely right
Now it's high time instead of blaming government, farmers should also like every other business person whose business is in loss should take every such step which would bring them back up. 
Like instead of selling your Fruits and vegetables,  one should opt to open a small shop in the nearby town or city where he can sell his agro products at a rate lower than that offered by the brokers."
1583454705117576_1583821205080926,426895610773497_1583454705117576,2018-04-17T20:29:44+0000,Developing and Offering free Cold storage to these farmers will be so much help Sonu Kumar
1583454705117576_1583755501754163,426895610773497_1583454705117576,2018-04-17T18:46:29+0000,Very sad that we still treat our GREAT farmers in such a mean way. its disgraceful that people (agents) do not pay them what they deserve.
1583454705117576_1583774901752223,426895610773497_1583454705117576,2018-04-17T19:17:36+0000,"जो “धान” की क़ीमत दे न सक,
वो “जान ” की क़ीमत क्या जाने?😭😭"
1583454705117576_1583766331753080,426895610773497_1583454705117576,2018-04-17T19:02:38+0000,Manish Dodwani
426895610773497_1583453175117729,NULL,2018-04-17T18:00:01+0000,"On an average, all the 21 public sector banks (PSBs) could recover only Rs 29,343 crore out of the Rs 2.72 lakh crore NPAs that were written off by PSBs in the last four fiscal years"
1583453175117729_1583754158420964,426895610773497_1583453175117729,2018-04-17T18:44:07+0000,"Mitrooooon, the only easiest way to become rich and filthy in our Country is - Wear suit boot, be close to BJ Party netas, loot to your heart content and run away right under the nose of Govt. If you are a poor farmer or middle class working guy or a student aspiring for good jobs or a stupid Pakoda PsychoBhakts. Just stop daydreaming that Achedin will arrive and your will lead a happy life. 🙏"
1583453175117729_1583738431755870,426895610773497_1583453175117729,2018-04-17T18:20:19+0000,"Previously i found this page to be very informative and i liked it.....but now i am going to un follow this fake ,biased ,selective, propaganda and communal page....,,if you agree please unlike it ,and support other clean unbiased pages....
Thanks"
1583453175117729_1583899275073119,426895610773497_1583453175117729,2018-04-17T22:56:06+0000,"Basically, it doesn't matter whether Congress runs the country or BJP runs the country. Either way, the people are screwed!!! >:("
1583453175117729_1583735361756177,426895610773497_1583453175117729,2018-04-17T18:16:17+0000,Did anyone actually think we'll recover it??!!😂😂😂😂
1583453175117729_1583772528419127,426895610773497_1583453175117729,2018-04-17T19:13:04+0000,Lalit Modi Vijay Malliya Nirav Modi Mehul Choksi are all snakes 🐍 that were hatched in Congress regime of crony capitalism. They have escaped after being tipped off by insiders who are still embedded in the corrupt system inherited by Modi.
1583453175117729_1583772978419082,426895610773497_1583453175117729,2018-04-17T19:14:01+0000,"Organised loot of the public money by some fake industrialists, businessmen, Traders, exporters etc in connivance with the politicians and higher authority of Banks, but only by denationalisation of the will solve all the problems,in India when there was no nationalized banks often we found that so many private banks collapsed cheating the ordinary people, even the private banks are not free from the fraudsters"
1583453175117729_1583741588422221,426895610773497_1583453175117729,2018-04-17T18:24:58+0000,"56 "" se china aur pakistan ko darne chale the......Desh ka ek bhi loootera ko videsh se pakad kar laa tak nahi sake pata nahi 56"" seena hai ya 56"" ka kuch aur...."
1583453175117729_1583738898422490,426895610773497_1583453175117729,2018-04-17T18:21:09+0000,Maybe it’s time to De-Nationalise the entire Banking system.
1583453175117729_1583724591757254,426895610773497_1583453175117729,2018-04-17T18:04:24+0000,"Read it on Twitter, allegedly a few journalists were blackmailing some influential people who were associated with Nirav Modi in anyway in the past. Is there any fact in these claims?"
1583453175117729_1583735308422849,426895610773497_1583453175117729,2018-04-17T18:16:11+0000,Cashless economy rocks again.
1583453175117729_1583762718420108,426895610773497_1583453175117729,2018-04-17T18:57:48+0000,Aman Awasthi  😊
1583453175117729_1583819018414478,426895610773497_1583453175117729,2018-04-17T20:26:27+0000,That's why no Cash at ATM
426895610773497_1583451491784564,NULL,2018-04-17T17:30:01+0000,MP CM Shivraj Singh Chouhan sees a conspiracy behind the cash crunch.
1583451491784564_1583739258422454,426895610773497_1583451491784564,2018-04-17T18:21:42+0000,"Previously i found this page to be very informative and i liked it.....but now i am going to un follow this fake ,biased ,selective, propaganda and communal page....,,if you agree please unlike it ,and support other clean unbiased pages....
Thanks"
1583451491784564_1583710268425353,426895610773497_1583451491784564,2018-04-17T17:44:09+0000,"Why are you blaming Modi. He did what he said ""Cashless economy""."
1583451491784564_1583703881759325,426895610773497_1583451491784564,2018-04-17T17:36:45+0000,"We seen Arun jately Action from four years! Nothing gonna happen. Don't lie again n again, people are not a fools to believe again n again. PM is out of country , RSS is out of control, ATM is out of cash."
1583451491784564_1583787655084281,426895610773497_1583451491784564,2018-04-17T19:37:43+0000,It was all done by you people. Forgot how u spread rumors that ur money nt safe in banks. Frst spread rumors thn blame gvt for this. Piddis nd commies can damage nation for thr personal satisfaction.
1583451491784564_1583722775090769,426895610773497_1583451491784564,2018-04-17T18:02:18+0000,#Admin want to do some magic by sharing it again and again.
1583451491784564_1583702345092812,426895610773497_1583451491784564,2018-04-17T17:34:20+0000,Sharing it again & again won't auto fill ATM. Admin is pure Anti BJP.
1583451491784564_1583701721759541,426895610773497_1583451491784564,2018-04-17T17:33:27+0000,Kammis and Congis were teasing Modiji when he announced that he would make  Indian economy cashless . Now see what he is capable of !! #BestPMever
1583451491784564_1583712701758443,426895610773497_1583451491784564,2018-04-17T17:48:16+0000,"What s joke...
Who is doing conspiracy?
From top to bottom everywhere BJP is problem.
Nehru is responsible....Ha ha haa"
1583451491784564_1583836208412759,426895610773497_1583451491784564,2018-04-17T20:55:09+0000,How much of fake news is spread through your page...shame on you for blaming others for this in which you are an expert.
1583451491784564_1583797405083306,426895610773497_1583451491784564,2018-04-17T19:52:50+0000,"FOOLS, when can't solve the problems, there best cheap excuse is, conspiracy, religious, fake etc.  😂😂😂"
